Source,website,page_url,TRUE,FALSE
www.onlinesentinel.com,www.snopes.com,1,0,1
www.onlinesentinel.com,www.publiusforum.com,1,0,1
www.onlinesentinel.com,www.onlinesentinel.com,1,0,1
www.politifact.com,www.modernhealthcare.com,1,0,1
www.politifact.com,www.nytimes.com,1,0,1
www.politifact.com,www.palmbeachpost.com,1,0,1
www.theverge.com,www.mediaite.com,1,0,1
www.theweeklyobserver.com,www.theweeklyobserver.com,1,0,1
www.theweeklyobserver.com,www.reuters.com,1,0,1
www.theweeklyobserver.com,www.nejm.org,1,0,1
www.theweeklyobserver.com,www.nbcnews.com,1,0,1
www.theweeklyobserver.com,www.australianetworknews.com,1,0,1
www.theweeklyobserver.com,uproxx.com,1,0,1
www.theverge.com,www.theverge.com,1,0,1
www.theverge.com,www.independent.co.uk,1,0,1
www.politifact.com,www.postonpolitics.com,1,0,1
www.theverge.com,www.buzzfeed.com,1,0,1
www.theverge.com,variety.com,1,0,1
www.techdirt.com,www.wired.com,1,0,1
www.techdirt.com,www.techdirt.com,1,0,1
www.techdirt.com,www.govtrack.us,1,0,1
www.techdirt.com,thehill.com,1,0,1
www.tdtalliance.com,www.snopes.com,1,0,1
www.theweeklyobserver.com,www.washingtonpost.com,1,0,1
www.vanityfair.com,www.foxnews.com,1,0,1
www.vanityfair.com,www.mtv.com,1,0,1
www.vanityfair.com,www.vanityfair.com,1,0,1
www.westernjournalism.com,papers.ssrn.com,1,0,1
